City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Sao Bernardo Do Campo,BR,-23.6939,-46.565,71.04,76,20,13.8,few clouds
Byron Bay,AU,-28.65,153.6167,51.94,82,68,8.19,broken clouds
Hoa Binh,VN,20.8133,105.3383,73.71,98,55,1.68,broken clouds
Narayangarh,IN,30.4833,77.1333,75.18,60,0,4.07,clear sky
Severo-Kurilsk,RU,50.6789,156.125,44.1,70,94,9.4,overcast clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,19.78,77,17,8.12,few clouds
Kahului,US,20.8947,-156.47,84.97,69,20,9.22,few clouds
Vista Hermosa,MX,19.5167,-99.2167,73.31,34,20,5.75,few clouds
Isangel,VU,-19.55,169.2667,75.31,83,13,6.91,few clouds
Oriximina,BR,-1.7656,-55.8661,90.84,47,93,0.65,overcast clouds
Puerto Narino,CO,-3.7703,-70.3831,81.52,84,77,1.57,heavy intensity rain
Kysyl-Syr,RU,63.8986,122.7617,22.41,83,45,3.8,scattered clouds
Ostersund,SE,63.1792,14.6357,49.6,100,0,5.75,clear sky
Abonnema,NG,4.7084,6.7931,77.29,91,100,3.91,overcast clouds
Vostok,RU,46.4856,135.8833,47.1,95,72,5.21,broken clouds
Mehamn,NO,71.0357,27.8492,40.91,93,75,2.3,broken clouds
Manikpur,IN,25.0667,81.1167,78.78,60,8,2.3,clear sky
Inhambane,MZ,-23.865,35.3833,70.74,82,0,7.67,clear sky
Westport,US,41.1415,-73.3579,58.28,61,100,20.71,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,62.89,93,0,7.83,clear sky
Andra,RU,62.5147,65.8878,34.56,87,100,9.26,overcast clouds
Tual,ID,-5.6667,132.75,82.89,73,100,8.39,overcast clouds
Clyde River,CA,70.4692,-68.5914,30.43,74,100,5.75,overcast clouds
Zabol,AF,32.25,67.25,63.81,25,0,8.55,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,87,72,14.25,broken clouds
Kailua,US,21.4022,-157.7394,80.58,90,54,11.54,light rain
Kropotkin,RU,45.4375,40.5756,72.18,50,100,5.41,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,80.65,79,100,22.84,overcast clouds
Nome,US,64.5011,-165.4064,35.67,70,0,4.61,clear sky
Uvarovka,RU,55.5278,35.6061,46.62,95,100,12.44,light rain
Formosa Do Rio Preto,BR,-11.0483,-45.1931,98.13,19,38,7.52,scattered clouds
Zhireken,RU,52.8249,117.3076,22.46,63,13,3.67,few clouds
Andenes,NO,69.3143,16.1194,39.18,87,20,4.61,few clouds
Bay Roberts,CA,47.5999,-53.2648,51.33,51,100,3.0,overcast clouds
Merauke,ID,-8.4667,140.3333,77.09,93,98,8.77,overcast clouds
Hailun,CN,47.45,126.9333,46.18,78,100,15.97,overcast clouds
Mangrol,IN,21.1167,70.1167,79.92,76,6,8.16,clear sky
Oneida,US,43.2001,-75.4663,65.7,47,0,10.36,clear sky
Fairbanks,US,64.8378,-147.7164,39.81,94,100,3.44,mist
Kilindoni,TZ,-7.9139,39.6668,75.83,76,6,15.73,clear sky
Thinadhoo,MV,0.5333,72.9333,82.4,68,100,15.17,overcast clouds
Bonito,BR,-21.1211,-56.4819,87.26,39,14,8.63,few clouds
Lavrentiya,RU,65.5833,-171.0,34.84,81,18,9.48,few clouds
Prince George,CA,53.9166,-122.753,64.26,65,100,6.91,overcast clouds
Pedernales,DO,18.0384,-71.744,86.99,66,100,10.47,overcast clouds
Aksarka,RU,66.5606,67.7975,35.76,86,100,11.97,overcast clouds
Aykhal,RU,66.0,111.5,19.63,94,99,12.03,overcast clouds
Buarcos,PT,40.166,-8.8768,71.94,75,0,11.5,clear sky
College,US,64.8569,-147.8028,39.79,93,100,3.44,mist
Muscat,OM,23.6139,58.5922,86.02,66,0,2.82,clear sky
Faya,SA,18.3851,42.4509,64.51,58,6,1.63,clear sky
Svetlogorsk,BY,52.6333,29.7333,44.2,92,100,21.88,overcast clouds
Daru,PG,-9.0763,143.2092,78.53,89,80,10.83,broken clouds
Dubbo,AU,-32.25,148.6167,42.93,93,6,10.36,clear sky
Makakilo City,US,21.3469,-158.0858,79.12,80,100,8.05,light rain
Korhogo,CI,9.45,-5.6333,74.07,91,73,5.06,broken clouds
Wrexham,GB,53.0,-3.0,55.04,90,5,5.01,clear sky
Kutum,SD,14.2,24.6667,81.66,38,95,9.31,light rain
Iskateley,RU,67.6803,53.1512,40.42,95,100,1.07,overcast clouds
Srednekolymsk,RU,67.45,153.6833,24.37,88,96,1.48,overcast clouds
Yatou,CN,37.15,122.3833,67.91,92,96,4.03,overcast clouds
Ciudad Bolivar,VE,8.1222,-63.5497,90.48,50,100,2.53,overcast clouds
Boulder,US,40.0833,-105.3505,65.57,56,0,4.0,clear sky
Ponta Do Sol,PT,32.6667,-17.1,72.72,83,61,5.32,broken clouds
Nemuro,JP,43.3236,145.575,56.12,73,2,10.85,clear sky
Minjur,IN,13.2667,80.2667,86.02,71,90,5.3,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,80,20,2.24,few clouds
Uhlove,UA,44.8215,33.6045,62.02,62,37,18.41,scattered clouds
Mullingar,IE,53.5333,-7.35,55.67,74,100,5.03,overcast clouds
Upernavik,GL,72.7868,-56.1549,23.0,88,12,10.71,few clouds
Peniche,PT,39.3558,-9.3811,74.28,76,1,14.76,clear sky
Romilly-Sur-Seine,FR,48.5108,3.7263,57.58,91,100,4.27,overcast clouds
Popondetta,PG,-8.7537,148.2534,72.63,89,11,3.02,few clouds
Vao,NC,-22.6667,167.4833,70.32,70,100,9.31,overcast clouds
Buala,SB,-8.145,159.5921,79.32,82,23,3.74,few clouds
Usinsk,RU,65.9939,57.5281,41.92,95,100,10.71,light rain
Morrinhos,BR,-17.7311,-49.0994,76.46,64,100,5.84,overcast clouds
Wuwei,CN,37.9281,102.6414,48.52,42,98,2.95,overcast clouds
Lagoa,PT,39.05,-27.9833,70.29,90,100,18.66,light rain
Chivilcoy,AR,-34.8957,-60.0167,83.1,22,100,6.38,overcast clouds
Yaan,NG,7.3833,8.5667,74.62,90,54,4.92,broken clouds
Hasaki,JP,35.7333,140.8333,66.6,65,100,5.77,overcast clouds
Airai,TL,-8.9266,125.4092,61.99,90,100,1.19,overcast clouds
Zinder,NE,13.8072,8.9881,94.68,28,100,9.01,overcast clouds
Praia,CV,14.9215,-23.5087,81.14,65,75,17.27,broken clouds
Saint-Augustin,CA,51.226,-58.6502,48.51,36,100,17.05,overcast clouds
Poronaysk,RU,49.2167,143.1167,49.21,89,85,11.79,overcast clouds
Moron,AR,-34.6534,-58.6198,82.8,45,8,5.91,clear sky
Mamonovo,RU,54.4643,19.938,53.91,84,85,15.1,overcast clouds
Ballitoville,ZA,-29.539,31.2144,71.74,83,100,5.75,overcast clouds
Oranjestad,AW,12.524,-70.027,89.55,66,40,13.8,scattered clouds
Leningradskiy,RU,69.3833,178.4167,25.07,80,100,2.66,overcast clouds
Concordia,AR,-31.393,-58.0209,77.07,39,20,8.05,few clouds
Olafsvik,IS,64.8945,-23.7142,45.45,86,100,17.4,moderate rain
Elizabeth City,US,36.2946,-76.2511,71.62,76,100,5.75,overcast clouds
Bud,US,39.447,-86.1758,72.86,56,0,14.65,clear sky
Deputatskiy,RU,69.3,139.9,-0.36,98,98,5.01,overcast clouds
Dehui,CN,44.5333,125.7,54.14,67,100,9.98,overcast clouds
Skibbereen,IE,51.55,-9.2667,54.1,77,100,4.7,overcast clouds
Nikolskoye,RU,59.7035,30.7861,45.79,96,100,4.88,overcast clouds
Margate,GB,51.3813,1.3862,56.7,64,0,5.77,clear sky
Cairns,AU,-16.9167,145.7667,71.55,89,48,3.44,scattered clouds
Port Moresby,PG,-9.4431,147.1797,76.42,94,40,5.75,scattered clouds
Luderitz,NA,-26.6481,15.1594,62.1,65,0,13.65,clear sky
Jardim,BR,-21.4803,-56.1381,85.93,46,55,6.69,broken clouds
Constitucion,CL,-35.3333,-72.4167,61.34,68,23,8.01,few clouds
Dunedin,NZ,-45.8742,170.5036,43.77,81,6,7.72,clear sky
Waipawa,NZ,-41.4122,175.5153,48.61,97,100,4.27,overcast clouds
Udachnyy,RU,66.4167,112.4,21.29,96,100,7.92,overcast clouds
Najran,SA,17.4924,44.1277,75.85,15,53,1.14,broken clouds
Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.45,74,20,3.44,few clouds
Hofn,IS,64.2539,-15.2082,47.3,68,95,8.97,overcast clouds
Jacareacanga,BR,-6.2222,-57.7528,76.06,85,100,1.99,overcast clouds
Lorengau,PG,-2.0226,147.2712,80.82,77,42,5.14,scattered clouds
Henties Bay,NA,-22.116,14.2845,56.75,92,7,5.23,clear sky
Lumut,MY,4.2323,100.6298,80.62,83,20,1.14,few clouds
Beringovskiy,RU,63.05,179.3167,40.89,82,100,10.89,light rain
Lang Suan,TH,9.9456,99.0785,76.37,87,99,4.21,overcast clouds
Divnomorskoye,RU,44.5011,38.1353,66.42,91,100,13.62,overcast clouds
Camacha,PT,33.0833,-16.3333,69.22,68,40,4.61,scattered clouds
Betul,IN,21.9153,77.8961,69.82,84,53,4.63,broken clouds
Saldanha,ZA,-33.0117,17.9442,57.25,81,0,7.31,clear sky
Ternate,ID,0.8,127.4,79.32,80,70,4.18,broken clouds
San Patricio,US,28.017,-97.5169,84.29,37,100,7.99,overcast clouds
Darhan,MN,49.4867,105.9228,29.53,47,99,4.88,overcast clouds
Adrar,MR,20.5022,-10.0711,94.8,22,100,9.19,overcast clouds
Dalvik,IS,65.9702,-18.5286,46.33,87,75,10.74,broken clouds
San Felipe,VE,10.3399,-68.7425,90.41,45,100,6.4,overcast clouds
Union,US,40.6334,-74.2663,59.58,85,100,23.02,light intensity drizzle
Tirodi,IN,21.6833,79.7,73.38,78,100,5.26,overcast clouds
Antibes,FR,43.5624,7.1278,67.48,83,75,5.75,broken clouds
Bundaberg,AU,-24.85,152.35,57.22,97,61,4.0,broken clouds
Novo Aripuana,BR,-5.1206,-60.3797,92.35,43,99,0.74,light rain
